SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-18-2020,Single Family Residential,7037 Calderwood Dr,Antioch,TN,37013,342000,3,2.5,Indian Creek Estates,2491,8276,2003,,137,17,Sold,,,http://www.redfin.com/TN/Antioch/7037-Calderwood-Dr-37013/home/108022794,REALTRACS,2206472,N,Y,36.0094187,-86.6811546
PAST SALE,April-5-2021,Single Family Residential,7809 Trace Creek Ct,Nashville,TN,37221,542000,3,2.5,Harpeth River Estates,2426,69696,2005,,223,,Sold,,,http://www.redfin.com/TN/Nashville/7809-Trace-Creek-Ct-37221/home/107978158,REALTRACS,2231512,N,Y,36.0472821,-86.9378803
PAST SALE,December-11-2020,Single Family Residential,369 Cedarcliff Rd,Antioch,TN,37013,239100,3,2.5,Forest View Park,2266,10454,1986,,106,,Sold,,,http://www.redfin.com/TN/Antioch/369-Cedarcliff-Rd-37013/home/60711417,REALTRACS,2202905,N,Y,36.0727242,-86.622739
PAST SALE,March-17-2021,Single Family Residential,3736 Seasons Dr,Antioch,TN,37013,325000,4,2.5,Somerset,2488,10890,1996,,131,26,Sold,,,http://www.redfin.com/TN/Antioch/3736-Seasons-Dr-37013/home/108041518,REALTRACS,2227377,N,Y,36.0723771,-86.5920938
PAST SALE,February-25-2021,Single Family Residential,616 Indian Ridge Dr,Nashville,TN,37221,390000,3,3.0,McCrory Trace Estates,2290,9583,1989,,170,54,Sold,,,http://www.redfin.com/TN/Nashville/616-Indian-Ridge-Dr-37221/home/108100380,REALTRACS,2223844,N,Y,36.0436028,-86.976193
PAST SALE,February-11-2021,Single Family Residential,2101 Porter Rd,Nashville,TN,37206,365500,4,2.0,Burchwood Gardens,2450,19166,1960,,149,,Sold,,,http://www.redfin.com/TN/Nashville/2101-Porter-Rd-37206/home/107997875,REALTRACS,2219180,N,Y,36.1961246,-86.7157293
PAST SALE,March-18-2021,Single Family Residential,2708 Greenside Pl,Nashville,TN,37206,625000,4,2.5,Greenside Park,2287,8276,2014,,273,95,Sold,,,http://www.redfin.com/TN/Nashville/2708-Greenside-Pl-37206/home/60832079,REALTRACS,2228387,N,Y,36.1886882,-86.7126494
PAST SALE,April-23-2021,Single Family Residential,115B Oceola Ave,Nashville,TN,37209,570000,4,3.0,West Nashville,2420,9583,2020,,236,,Sold,,,http://www.redfin.com/TN/Nashville/115-Oceola-Ave-37209/home/60862908,REALTRACS,2217360,N,Y,36.1436216,-86.8597723
PAST SALE,December-4-2020,Single Family Residential,2400 Dalebrook Ct,Nashville,TN,37206,475000,4,3.0,Eastland Acres,2409,17859,1959,,197,,Sold,,,http://www.redfin.com/TN/Nashville/2400-Dalebrook-Ct-37206/home/60871949,REALTRACS,2200345,N,Y,36.1829181,-86.7218078
PAST SALE,May-3-2021,Single Family Residential,2419 Barclay Dr,Nashville,TN,37206,655000,3,3.0,Eastland Acres,2481,23086,1956,,264,,Sold,,,http://www.redfin.com/TN/Nashville/2419-Barclay-Dr-37206/home/107997551,REALTRACS,2240040,N,Y,36.1801282,-86.7207511
