SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,413 Brook View Estates Dr,Antioch,TN,37013,244900,3,1.5,Bell Heights,1420,10454,1979,,172,,Active,,,http://www.redfin.com/TN/Antioch/413-Brookview-Estates-Dr-37013/home/108041748,REALTRACS,2249548,N,Y,36.0445834,-86.6924431
MLS Listing,,Single Family Residential,135 Spring Valley Rd,Nashville,TN,37214,340000,2,1.0,"Bluefields, Donelson",1423,24829,1951,,239,,Active,,,http://www.redfin.com/TN/Nashville/135-Spring-Valley-Rd-37214/home/108114154,REALTRACS,2249538,N,Y,36.1651027,-86.6736013
MLS Listing,,Single Family Residential,2509 Slaydon Dr,Nashville,TN,37207,325000,3,2.0,Shepardwood,1026,10890,1990,,317,,Active,,,http://www.redfin.com/TN/Nashville/2509-Slaydon-Dr-37207/home/107996618,REALTRACS,2249536,N,Y,36.2106996,-86.7529708
MLS Listing,,Single Family Residential,709 Goswell Dr,Nolensville,TN,37135,429900,3,2.0,Carothers Farms,1755,,2021,,245,91,Active,,,http://www.redfin.com/TN/Nolensville/709-Goswell-DR-37135/home/175039785,REALTRACS,2249514,N,Y,35.98326992,-86.61398417
MLS Listing,,Single Family Residential,703 Goswell Dr N,Nolensville,TN,37135,384900,3,2.0,Carothers Farms,1521,,2021,,253,91,Active,,,http://www.redfin.com/TN/Nolensville/703-Goswell-DR-N-37135/home/175039710,REALTRACS,2249509,N,Y,35.98606862,-86.61355502
MLS Listing,,Condo/Co-op,121 Beech Forge Dr,Antioch,TN,37013,200000,2,2.0,Bell Forge Village,1277,1742,1985,,157,235,Active,,,http://www.redfin.com/TN/Antioch/121-Beech-Forge-Dr-37013/home/108010762,REALTRACS,2249505,N,Y,36.0456607,-86.6465112
MLS Listing,,Single Family Residential,6597 Frye Ln,Hermitage,TN,37076,385990,2,2.0,Parkhaven,1396,,2020,,276,275,Active,,,http://www.redfin.com/TN/Hermitage/6597-Frye-LN-37076/home/175039262,REALTRACS,2249482,N,Y,36.1941022,-86.63598211
MLS Listing,,Single Family Residential,1632 Aaronwood Dr,Old Hickory,TN,37138,255900,3,2.0,Hampton Park,1196,6969,1992,,214,8,Active,,,http://www.redfin.com/TN/Old-Hickory/1632-Aaronwood-Dr-37138/home/108001265,REALTRACS,2249481,N,Y,36.2181915,-86.6293579
MLS Listing,,Single Family Residential,1610 Essex Ave,Nashville,TN,37216,360000,2,1.0,Waters Place,850,6969,1958,,424,,Active,,,http://www.redfin.com/TN/Nashville/1610-Essex-Ave-37216/home/87819412,REALTRACS,2249449,N,Y,36.199163,-86.7243277
MLS Listing,,Single Family Residential,7347 Ole Nottingham Dr,Antioch,TN,37013,259000,3,2.0,Villages Of Long Hunter,1335,6098,2004,,194,17,Active,,,http://www.redfin.com/TN/Antioch/7347-Ole-Nottingham-Dr-37013/home/108062726,REALTRACS,2249444,N,Y,36.068589,-86.5727799
