SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-18-2020,Single Family Residential,505 Banshire Ct,Brentwood,TN,37027,568000,4,3.5,Banbury Crossing,3680,10890,1998,,154,40,Sold,,,http://www.redfin.com/TN/Brentwood/505-Banshire-Ct-37027/home/108011421,REALTRACS,2195036,N,Y,36.0233461,-86.7486629
PAST SALE,December-21-2020,Single Family Residential,8109 Poplarwood Ln,Nashville,TN,37221,625000,4,3.0,Poplarwood,3684,10018,1998,,170,,Sold,,,http://www.redfin.com/TN/Nashville/8109-Poplarwood-Ln-37221/home/103954612,REALTRACS,2210836,N,Y,36.0550632,-86.9736319
PAST SALE,February-11-2021,Single Family Residential,218 Rising Sun Ter,Old Hickory,TN,37138,615000,5,3.0,Brandywine Farms,3500,43124,1974,,176,,Sold,,,http://www.redfin.com/TN/Old-Hickory/218-Rising-Sun-Ter-37138/home/60854468,REALTRACS,2217709,N,Y,36.2384041,-86.6123848
PAST SALE,November-18-2020,Single Family Residential,316 Chalford Ct,Franklin,TN,37069,749500,4,3.0,Stonebridge Park Sec 2,3852,18295,1997,,195,75,Sold,,,http://www.redfin.com/TN/Franklin/316-Chalford-Ct-37069/home/87881077,REALTRACS,2195451,N,Y,36.0422389,-86.9003297
PAST SALE,February-12-2021,Single Family Residential,4209 Sneed Rd,Nashville,TN,37215,1277500,4,3.0,Green Hills,3726,30056,1950,,343,,Sold,,,http://www.redfin.com/TN/Nashville/4209-Sneed-Rd-37215/home/108006151,REALTRACS,2217274,N,Y,36.1012944,-86.836878
PAST SALE,,Condo/Co-op,2253 Castleman Dr Unit B,Nashville,TN,37215,1300000,4,3.5,,3980,,2017,,327,,,,,http://www.redfin.com/TN/Nashville/2253-Castleman-Dr-37215/unit-B/home/144496199,,,N,Y,36.099894,-86.8271917
PAST SALE,December-8-2020,Single Family Residential,508 Hobbs Creek Dr,Nashville,TN,37215,974900,4,4.5,Hobbs Creek,3617,,2019,,270,200,Sold,,,http://www.redfin.com/TN/Nashville/Hobbs-Ct-37215/home/170542563,REALTRACS,2199420,N,Y,36.102057,-86.822817
PAST SALE,February-17-2021,Single Family Residential,7204 Natchez Pointe Dr,Nashville,TN,37221,600000,4,3.5,Natchez Pointe,3549,14810,2016,,169,40,Sold,,,http://www.redfin.com/TN/Nashville/7204-Natchez-Pointe-Dr-37221/home/69355487,REALTRACS,2217713,N,Y,36.0449722,-86.9827853
PAST SALE,November-30-2020,Single Family Residential,3712 Cedarwood Dr,Nashville,TN,37216,800000,4,3.0,Riverwood,3679,19166,1956,,217,,Sold,,,http://www.redfin.com/TN/Nashville/3712-Cedarwood-Dr-37216/home/108119563,REALTRACS,2200278,N,Y,36.2190227,-86.7080384
PAST SALE,May-10-2021,Single Family Residential,2705 Glenoaks Dr,Nashville,TN,37214,625000,4,4.0,Donelson/McGavock Heights,3579,43995,1988,,175,,Sold,,,http://www.redfin.com/TN/Nashville/2705-Glen-Oaks-Dr-37214/home/60758203,REALTRACS,2242909,N,Y,36.1903105,-86.6704538
PAST SALE,December-3-2020,Single Family Residential,3925 Kimpalong Dr,Nashville,TN,37205,1395000,4,4.5,Kimpalong Place,3714,17424,1930,,376,,Sold,,,http://www.redfin.com/TN/Nashville/3925-Kimpalong-Ave-37205/home/68798282,REALTRACS,2201679,N,Y,36.1257473,-86.8379888
PAST SALE,February-26-2021,Single Family Residential,4013 Nebraska Ave,Nashville,TN,37209,1250000,4,7.0,Sylvan Park,4000,7405,2020,,313,,Sold,,,http://www.redfin.com/TN/Nashville/4013-Nebraska-Ave-37209/home/108052451,REALTRACS,2185906,N,Y,36.1426076,-86.8340547
PAST SALE,March-12-2021,Single Family Residential,3809 Rolland Rd,Nashville,TN,37205,938400,4,2.5,Whitland,3746,15245,1972,,251,,Sold,,,http://www.redfin.com/TN/Nashville/3809-Rolland-Rd-37205/home/108125862,REALTRACS,2218895,N,Y,36.127787,-86.8323489
PAST SALE,November-30-2020,Single Family Residential,4331 Stone Hall Blvd,Hermitage,TN,37076,496900,5,3.5,Highlands at Stone Hall,3823,6969,2020,,130,63,Sold,,,http://www.redfin.com/TN/Hermitage/4331-Stone-Hall-Blvd-37076/home/148400699,REALTRACS,2160644,N,Y,36.192071,-86.642669
PAST SALE,February-1-2021,Single Family Residential,3311 Acklen Ave,Nashville,TN,37212,1169000,4,4.0,Bransford Realty West End,3891,11325,2013,,300,,Sold,,,http://www.redfin.com/TN/Nashville/3311-Acklen-Ave-37212/home/68824417,REALTRACS,2205016,N,Y,36.136737,-86.816757
PAST SALE,January-11-2021,Single Family Residential,840 Woodmont Blvd,Nashville,TN,37204,924000,5,4.0,Green Hills/12th South,3825,10018,2017,,242,,Sold,,,http://www.redfin.com/TN/Nashville/840-Woodmont-Blvd-37204/home/112485954,REALTRACS,2209651,N,Y,36.1101209,-86.7770768
PAST SALE,November-20-2020,Single Family Residential,1615 S Observatory Dr,Nashville,TN,37215,1090000,5,4.0,Green Hills,3819,11325,1936,,285,,Sold,,,http://www.redfin.com/TN/Nashville/1615-S-Observatory-Dr-37215/home/103946632,REALTRACS,2196590,N,Y,36.1042928,-86.8034963
PAST SALE,March-8-2021,Single Family Residential,112 Allendale Dr,Nashville,TN,37205,1301000,5,4.0,West Meade,3810,15681,2019,,341,,Sold,,,http://www.redfin.com/TN/Nashville/112-Allendale-Dr-37205/home/108038406,REALTRACS,2229839,N,Y,36.1030552,-86.8725673
PAST SALE,May-6-2021,Single Family Residential,1225 Sunnymeade Dr,Nashville,TN,37216,625000,6,4.0,Sunnymeade,3939,15245,1955,,159,,Sold,,,http://www.redfin.com/TN/Nashville/1225-Sunnymeade-Dr-37216/home/108119848,REALTRACS,2210806,N,Y,36.2160038,-86.722166
PAST SALE,January-14-2021,Single Family Residential,728 Richfield Dr,Nashville,TN,37205,790000,4,3.5,Hillwood,3521,42253,1955,,224,,Sold,,,http://www.redfin.com/TN/Nashville/728-Richfield-Dr-37205/home/60789672,REALTRACS,2207420,N,Y,36.1237361,-86.8825775
PAST SALE,November-13-2020,Single Family Residential,4117 Utah Ave,Nashville,TN,37209,597000,5,3.0,Sylvan Park,3524,8712,1936,,169,,Sold,,,http://www.redfin.com/TN/Nashville/4117-Utah-Ave-37209/home/108127257,REALTRACS,2206548,N,Y,36.1441182,-86.836682
PAST SALE,November-17-2020,Single Family Residential,4128 Brick Church Pike,Whites Creek,TN,37189,695000,5,5.5,Atkins Acres,3506,498326,1998,,198,,Sold,,,http://www.redfin.com/TN/Whites-Creek/4128-Brick-Church-Pike-37189/home/108077079,REALTRACS,2183529,N,Y,36.272913,-86.780892
